"","product","Value"
"1","999953616",73182.8796729812
"2","999749463",37236.1091857037
"3","999272866",32627.1689025697
"4","999749460",19377.1519807789
"5","999148252",17856.5630506523
"6","999662850",11300.1732553572
"7","999163038",6592.74069191794
"8","999468883",5957.02159763922
"9","999424824",5397.93177055543
"10","999364679",4873.58555059558
"11","999163039",4253.7904473106
"12","999383364",4191.32976769045
"13","999609644",3872.97671426054
"14","999288863",3377.77689464477
"15","999165814",2553.91425
"16","999662852",2481.95465636626
"17","999749714",2299.67272381686
"18","999457945",2010.65099930552
"19","999737296",2148.18439393939
"20","999993775",2215.21544447013
"21","999938487",2158.75461213666
"22","999704503",1904.42534563015
"23","999267634",1224.87435962135
"24","999885829",1126.53150837439
"25","999334615",788.458140070619
"26","999938977",732.822087501131
"27","999458787",621.994148926731
"28","999428867",538.317569384835
"29","999378733",583.22264114571
"30","999749844",524.531516974154
"31","999388745",201.11680487004
"32","999960722",339.328435399551
"33","999165471",295.251640293331
"34","999988548",177.169297935521
"35","999749469",252.885042509735
"36","999274617",228.993729814183
"37","999950722",230.386153846153
"38","999938488",150.9528414725
"39","999749472",111.196494338537
"40","999455955",163.179054491426
"41","999949943",129.640281750513
"42","999191772",127.903459412363
"43","999943438",113.135666423189
"44","999749704",87.2309024782749
"45","999985248",76.5167776124727
"46","999238718",101.608432157885
"47","999300055",53.3809668507404
"48","999278984",52.4473043085107
"49","999270791",70.2533821719701
"50","999942811",49.5028160654179
"51","999749706",47.8340441100156
"52","999785049",44.1807798245614
"53","999163113",57.7231244813278
"54","999170755",41.97294535387
"55","999958544",53.9884192420122
"56","999749719",37.6858383673736
"57","999821168",63.0166113437381
"58","999176231",34.1064817150063
"59","999388744",49.861400382907
"60","999348969",29.9273785416367
"61","999233692",27.7005064392185
"62","999986526",41.2166890799482
"63","999153988",22.1434072439547
"64","999386378",40.4688390320136
"65","999237943",21.0189426911911
"66","999390589",36.752925611838
"67","999269716",40.0102920284136
"68","999685083",19.1139256069881
"69","999630595",19.0007679367412
"70","999504094",18.6612414285714
"71","999236836",18.300275
"72","999995268",18.1991255800151
"73","999175636",17.8879061683379
"74","999152460",17.5794371671493
"75","999449660",17.5739645461918
"76","999180282",17.3736410474835
"77","999521334",17.122340068112
"78","999899609",16.8656018576968
"79","999570796",15.7328401924106
"80","999500149",15.4559809110226
"81","999958971",15.1484163987138
"82","999160020",14.7295000356504
"83","999370781",14.7052918992884
"84","999518892",14.2223891689143
"85","999947854",14.1494540397267
"86","999523228",13.9468691588785
"87","999749845",27.3473947326253
"88","999307763",13.5899520933417
